,prim_ind_text,prim_ind_topic_id,prim_ind_probability,types_res_text,types_res_topic_id,types_res_probability,future_res_text,future_res_topic_id,future_res_probability,research_educ_text,research_educ_topic_id,research_educ_probability,how_pick_events_text,how_pick_events_topic_id,how_pick_events_probability,events_attend_recent_text,events_attend_recent_topic_id,events_attend_recent_probability,ideal_topics_text,ideal_topics_topic_id,ideal_topics_probability,ideal_attendees_text,ideal_attendees_topic_id,ideal_attendees_probability,recommendations_text,recommendations_topic_id,recommendations_probability,big_answer,persona_id,polarity,subjectivity
67,"Consumer across multiple vectors: fin, health, wellness, etc. ",software,0.5312344815886261,Qualitative,qual/quant,0.5621572177868904,"User research, quant",focus group,0.5109642622306855,,"masters, bachelors",0.16666666666666669,"Timing of year (e.g., not Q4 as so busy), size of conference, learning potential vs hearing speakers deliver stump speeches, workshop formats + speakers, hands on learning, location",misc,0.9556557691902697,local meet up (UX and healthcare research,"service design, australia",0.8926927204477201,"stprytelling, creativity in methodology, ai and tech as compliment to human, case studies",ops/ai,0.5682374106085711,,"industry, team, product",0.25,"Research
position as friendly, learning...","good, know",0.7316165268933081,"Yes, I was taught how to conduct researchn/aTiming of year (e.g., not Q4 as so busy), size of conference, learning potential vs hearing speakers deliver stump speeches, workshop formats + speakers, hands on learning, locationQRCA - V generous crowd, sharing 'secrets' - not really, but sharing what they know w.the knowledge that it elevates the crowd, good vibe/culture (warm, giving, no bs)
EPIC - Intellectualy stimulating, great sizelocal meet up (UX and healthcare researchSmall conference: < 300 attendeesMulti-track: Every attendee chooses their own path with multiple options available for most time-slotsn/astprytelling, creativity in methodology, ai and tech as compliment to human, case studiesn/aResearch
position as friendly, learning...",1,0.31346153846153846,0.48846153846153845
68,Consumer goods and non-profits,government,0.7083333188361621,"Qualitative
Ethnography
",qual/quant,0.7080192832858978,Quant,inquiry,0.5624024734008004,"PhD in social anthropology. I took course work in running, planning and designing qualitatvive research (i.e. ethnography) and how to utilize different tools.  I did over 14 months of fieldwork. ","masters, bachelors",0.9634681937990129,"Based on my current schedule and budget mostly! For example, couldn't attend the EPIC conference in Hawaii because it was expensive to go and logistically complicated to get there for me. ","price, location",0.9352791465651478,,"london, user_research",0.14285714285714288,Incorporating anthropology into business research (but hearing from anthropologists/academics instead of industry insiders who think they understand anthropology).,case_study,0.9141482366979712,"More non-profits who we might learn about doing field research from i.e. UN Agencies especially. I think what we lack is real insight into some of the challenges of doing fieldwork for business.  Less industry folks who only see number and dollar signs, more experienced social scientists. ","industry, team, product",0.9672142769460129,"Use the time wisely. Don't start on an odd day of the week. Don't make the conference too long or complicated to understand/organize (for example the AAA conference is WAY to big). Don't forget about students who might want to attend but not have the financial means to go -- scholarships? 

","event, opportunity",0.9610712243699213,"No, I was not taught how to conduct researchPhD in social anthropology. I took course work in running, planning and designing qualitatvive research (i.e. ethnography) and how to utilize different tools.  I did over 14 months of fieldwork. Based on my current schedule and budget mostly! For example, couldn't attend the EPIC conference in Hawaii because it was expensive to go and logistically complicated to get there for me. n/an/aSmall conference: < 300 attendeesSingle-track: All attendees experience the same content at the same timeLess powerpoint sessions, more interactive sessions. Incorporating anthropology into business research (but hearing from anthropologists/academics instead of industry insiders who think they understand anthropology).More non-profits who we might learn about doing field research from i.e. UN Agencies especially. I think what we lack is real insight into some of the challenges of doing fieldwork for business.  Less industry folks who only see number and dollar signs, more experienced social scientists. Use the time wisely. Don't start on an odd day of the week. Don't make the conference too long or complicated to understand/organize (for example the AAA conference is WAY to big). Don't forget about students who might want to attend but not have the financial means to go -- scholarships? 

",1,0.06992753623188408,0.4739130434782609
69,Design,tech,0.5624791239060403,"User, Market, Analytics",market,0.7810215684816083,,"evaluative, quantitative, qualitative",0.125,BSc Psychology,"masters, bachelors",0.7202433007269854,I have a family and travel for work so can only commit to one or two conferences a year. Events and meet-ups are hard for me to attend as I live outside London/major cities in the UK where a lot happens.,"price, location",0.9580918824175242,"User Research London, UX Insight, Research Ops workshops.","service design, australia",0.49495608878496994,"Leadership
Research Ops
Stakeholder buy in
Working with other teams in the organisation
Strategic / discovery research 
IA Research
",case_study,0.706427838906358,"Leisa
Kate T
Abby C
Steph Marsh
Katy Arnold
Steve Portigal
David Whittle (Spotify)
Brigette Mesler
Lots of awesome individuals in Gov.uk
Public sector people 
Less excited about people working at tech giants but I have seen some good individual speakers - particular coming out of Spotify/Shopify",indi young,0.9715753878350115,Invite me to come! I’d love to be involved ;0),"field, survery",0.8968014325020142,"Imputed YesBSc PsychologyI have a family and travel for work so can only commit to one or two conferences a year. Events and meet-ups are hard for me to attend as I live outside London/major cities in the UK where a lot happens.Learning through working at the BBC. Also the tailored training courses we received there.User Research London, UX Insight, Research Ops workshops.Small conference: < 300 attendeesSingle-track: All attendees experience the same content at the same timeNopeLeadership
Research Ops
Stakeholder buy in
Working with other teams in the organisation
Strategic / discovery research 
IA Research
Leisa
Kate T
Abby C
Steph Marsh
Katy Arnold
Steve Portigal
David Whittle (Spotify)
Brigette Mesler
Lots of awesome individuals in Gov.uk
Public sector people 
Less excited about people working at tech giants but I have seen some good individual speakers - particular coming out of Spotify/ShopifyInvite me to come! I’d love to be involved ;0)",1,0.15575757575757573,0.4355555555555555
70,"Education, standards, government",government,0.37500187428899734,"Interviews, remote and moderated user tests, expert reviews",generative/mixed method,0.9374183086475859,"More remote testing, GDPR compliance","evaluative, quantitative, qualitative",0.8541425488806523,"MSLIS with concentration in user experience, research training at PWC (literature review, surveys, market research, data collection and analysis)","class, running study",0.9506126996056081,I prioritize local events and events where I am speaking or planning. It’s easy for me since I’m in NYC and we have a lot to choose from.,"subject, feel, theme",0.9507262812362188,"SCGI Gateways, NYC Service Design meetup, NYC UX Research meetup, NYC UX+Data meetup, lots of data+society meetups with dana boyd. And my own Behavioral Economics NYC meetup.","service design, australia",0.9609543604998455,"Ethnographic research, Portigal style tales from the field
Analyzing research, methods for making sense of the data collected
GDPR compliance, privacy and security of data, presentation and transfer of information  to clients with privacy in mind (ie who owns the research)","new_method, mixed_method",0.5252026153744928,"Data journalist
Expert on bias
Research AI, including AI/ML critics
",indi young,0.5297192351920604,"Reminder that not all UX research projects begin with an app or digital experience in mind. Much of the solutions to today’s problems require behavior change that won’t be cured with a shiny toy. Analog methods are still very much relevant. Play is still very much a part of discovery.

Other than that, pick a location that is convenient and not to expensive and that is near reasonably priced dining and accommodations and transportation hubs. Find ways to welcome all types of people, like activities that accommodate both introverts and extroverts, healthy food options that address various diets, time during breaks and comfortable hallways to network in, if possible offer a one day or two day pass. ","speaker, industry",0.9840985663103441,"Yes, I was taught how to conduct researchMSLIS with concentration in user experience, research training at PWC (literature review, surveys, market research, data collection and analysis)I prioritize local events and events where I am speaking or planning. It’s easy for me since I’m in NYC and we have a lot to choose from.At the first design ops event I attended Dave Gray’s DesignOps canvas workshop and was randomly paired with the head of design at JP Morgan. Since I was working on a financial app it couldn’t have been a better match.SCGI Gateways, NYC Service Design meetup, NYC UX Research meetup, NYC UX+Data meetup, lots of data+society meetups with dana boyd. And my own Behavioral Economics NYC meetup.Small conference: < 300 attendeesSingle-track: All attendees experience the same content at the same timePoster sessions, tutorialsEthnographic research, Portigal style tales from the field
Analyzing research, methods for making sense of the data collected
GDPR compliance, privacy and security of data, presentation and transfer of information  to clients with privacy in mind (ie who owns the research)Data journalist
Expert on bias
Research AI, including AI/ML critics
Reminder that not all UX research projects begin with an app or digital experience in mind. Much of the solutions to today’s problems require behavior change that won’t be cured with a shiny toy. Analog methods are still very much relevant. Play is still very much a part of discovery.

Other than that, pick a location that is convenient and not to expensive and that is near reasonably priced dining and accommodations and transportation hubs. Find ways to welcome all types of people, like activities that accommodate both introverts and extroverts, healthy food options that address various diets, time during breaks and comfortable hallways to network in, if possible offer a one day or two day pass. ",1,0.15992424242424244,0.4796212121212122
71,Teaching and research in HealthCare,healthcare,0.7083152512843021,"research for preparing teaching, making survey for latest research results",testing,0.7081339695702287,"research for preparing teaching, making survey for latest research results",focus group,0.8537970035316897,,"masters, bachelors",0.16666666666666669,I'll always choose the cheapest location possible to attend. Funding for travel is scarce.,pay,0.9066485981077897,"Participatory Design Conferences (PDC), NordiCHI, and many minor local conferences","toronto, strive",0.8771710352792816,"Methods, Tools, Activities",case_study,0.8468524853119054,"KOL - key opinion leaders
leaders in public debate on research","sam ladner, erika hall",0.8888845985232595,"Make it to be an international conference, not an american conference. 
Forget about all the hype places. American style conferences at fashion places/institutions/cpmpanies can be dreadfully awful. 
Don't give the organisation to a professional conference organizer that turns the cobference into a business. Then I am sure, I won't get what I am longing for. Keynotes speakes will be likely to be turned into hype shows on future bla bla. ","group, career, city",0.9488325344844931,"Yes, I was taught how to conduct researchn/aI'll always choose the cheapest location possible to attend. Funding for travel is scarce.This questions is somehow limited in sens-making. 
The best learning experience is of course always when I am taken i custody, being somehow in charge, responsible, etc. In short, I am asked to active participant. 
Passive participation in conferences, seminars, workshops etc is A WASTE OF TIME. 
The principle in my company: you join the conference as a presenter, otherwise you stay home. Participatory Design Conferences (PDC), NordiCHI, and many minor local conferencesSmall conference: < 300 attendeesSingle-track: All attendees experience the same content at the same timeUnConference formatsMethods, Tools, ActivitiesKOL - key opinion leaders
leaders in public debate on researchMake it to be an international conference, not an american conference. 
Forget about all the hype places. American style conferences at fashion places/institutions/cpmpanies can be dreadfully awful. 
Don't give the organisation to a professional conference organizer that turns the cobference into a business. Then I am sure, I won't get what I am longing for. Keynotes speakes will be likely to be turned into hype shows on future bla bla. ",1,0.038419913419913417,0.3647005772005772
72,IT development services,fintech,0.7082431324299119,"Participatory observations, user interviews, questionnaires",ngram,0.9026939367307173,same,"evaluative, quantitative, qualitative",0.125,"Part of my UX education at Artop Institute, Berlin","online, non-degree",0.43185151593732846,"Event topic, location, training budget left this year?","price, location",0.9235634525200842,none particularly for research (we are mostly  generalists in our company),"webinar, brighton",0.7133596625089965,"How to advocate for research in software dev projects, how to integrate research for the entire project lifespan, how to educate the developers so that they would request research in their next project as well?","new_method, mixed_method",0.9298744542163697,,"industry, team, product",0.25,"Don’t get too specific, try to make it work for the generalists, too!","field, survery",0.8357009779287901,"Yes, I was taught how to conduct researchPart of my UX education at Artop Institute, BerlinEvent topic, location, training budget left this year?UX consultant training at Artop. 12 2-day sessions over a year — we learned new things and could try them out in our job, and then come back next month to discuss our experiences. Great format!none particularly for research (we are mostly  generalists in our company)Small conference: < 300 attendeesSingle-track: All attendees experience the same content at the same timen/aHow to advocate for research in software dev projects, how to integrate research for the entire project lifespan, how to educate the developers so that they would request research in their next project as well?n/aDon’t get too specific, try to make it work for the generalists, too!",1,0.13358585858585859,0.2531565656565657
73,Service design and product consultancy for government,tech,0.7655178764460512,"Qual - (depth interviews, diary studies)
Quant - Product tests, survey's etc",ngram,0.5939360174729832,More remote moderated and unmoderated research,"evaluative, quantitative, qualitative",0.4799368050443063,,"masters, bachelors",0.16666666666666669,Overall cost of attending relative to the value I expect to get from the event,misc,0.8950884621081862,"Mind the product, meetups in London, UXBristol","london, user_research",0.6941243528185684,Making it easier to do continuous research at a sustainable pace,"new_method, mixed_method",0.8462478221470778,,"industry, team, product",0.25,,"speaker, industry",0.2,"Yes, I was taught how to conduct researchn/aOverall cost of attending relative to the value I expect to get from the eventCoaching on public speaking - Teacher was very experienced and really effectiveMind the product, meetups in London, UXBristolSmall conference: < 300 attendeesSingle-track: All attendees experience the same content at the same timen/aMaking it easier to do continuous research at a sustainable pacen/an/a",1,0.19999999999999998,0.25277777777777777
74,healthcare,healthcare,0.5624999956334351,"We are currently primarily data driven - using KPI's, metrics and secondary research.  We do have smaller segments dispersed throughout the company that perform mixed qualitative and quantitative research methods, such as direct interviews, surveys, etc.  However, our leadership team still looks for the quantitative before decision making.",qual/quant,0.4189540975064076,"Looking to use a lot more qualitative research, specifically human centered design thinking; inclusive of combing the context of data with it's purpose and intention to satisfy a business need or objective.",focus group,0.9485047136013348,completed  a Master's degree on Strategic Design Management through Parson's School of Design.,degree majors,0.5146865469346056,"The decision is usually based on my perceived value and ROI - how much time will I be away from my family (the farther I have to travel, this adds to 'wasted' time away), how much work will I miss, how much education/knowledge/new skills do I really think I'll walk away with?","reputation, value",0.9689107029203413,None devoted to research,"service design, australia",0.5702396056583484,"how to engage others in doing appropriate/effective research, when their *job* isn't research.",quant/qual/data,0.8714781737895565,,"industry, team, product",0.25,"Don't assume that you know; continue to hone and refine with input from potential participants.
Ask keynote speakers to talk specifics- not super generic 'my company is so amazing because we do great research""; really get into the details or the specifics.  I'd rather see a keynote that doesn't have a flashy C-Suite title but is capable of actually talking about what's going on in the world than a C-Suite flashy name that isn't actually doing the work any more, but is just leading a team through it (and then taking the credit for being a 'thought leader' to this amazing team).","event, opportunity",0.9801871811391567,"Yes, I was taught how to conduct researchcompleted  a Master's degree on Strategic Design Management through Parson's School of Design.The decision is usually based on my perceived value and ROI - how much time will I be away from my family (the farther I have to travel, this adds to 'wasted' time away), how much work will I miss, how much education/knowledge/new skills do I really think I'll walk away with?The experiences that I've considered great were ones where a skill was taught and then practiced, and then followed with a practical discussion about real life application; and the *bonus* how to teach this to others who aren't familiar with research.None devoted to researchSmall conference: < 300 attendeesMulti-track: Every attendee chooses their own path with multiple options available for most time-slotsn/ahow to engage others in doing appropriate/effective research, when their *job* isn't research.n/aDon't assume that you know; continue to hone and refine with input from potential participants.
Ask keynote speakers to talk specifics- not super generic 'my company is so amazing because we do great research""; really get into the details or the specifics.  I'd rather see a keynote that doesn't have a flashy C-Suite title but is capable of actually talking about what's going on in the world than a C-Suite flashy name that isn't actually doing the work any more, but is just leading a team through it (and then taking the credit for being a 'thought leader' to this amazing team).",1,0.19070512820512822,0.42371794871794877
75,public services,misc,0.3189746093156978,"User testing, qualitative Interviews, user surveys",ngram,0.9124368175718486,"Metrics from user tracking, top task analysis","moderate, unmoderate",0.7321402161743281,"Major in information science, phd in hci","experimental, psychology",0.9068950232831721,"2 major event sponored by my employers, first topicality, then opotunity to present a talk, then speakers",misc,0.5293905992083111,uxpa germany conference,ia summit,0.7139559551068325,"Researchops, ""art of"" application of results, implementation in agile projects, ""just enough"" / lean research",case_study,0.9184592470185377,,"industry, team, product",0.25,"Mix of outlook to new / future methods, e.g. in the form of lightning talks, discussion panels + workshops and tutorials for intermediate level methods. Examples of application in practice of established methods welcome, e.g. as an unconference session

Tutorials and workshops should target a specific level of expertise - do not make experienced researchers go through basics if the topic is more advanced/specific","group, career, city",0.9728314690031088,"No, I was not taught how to conduct researchMajor in information science, phd in hci2 major event sponored by my employers, first topicality, then opotunity to present a talk, then speakersNng ux week: Other attenddes, workshop formatuxpa germany conferenceSmall conference: < 300 attendeesSingle-track: All attendees experience the same content at the same timen/aResearchops, ""art of"" application of results, implementation in agile projects, ""just enough"" / lean researchn/aMix of outlook to new / future methods, e.g. in the form of lightning talks, discussion panels + workshops and tutorials for intermediate level methods. Examples of application in practice of established methods welcome, e.g. as an unconference session

Tutorials and workshops should target a specific level of expertise - do not make experienced researchers go through basics if the topic is more advanced/specific",1,0.2088474025974026,0.40806277056277057
76,retail,commerce/consulting,0.5624999887005528,field observations,ngram,0.7811351699355458,diaries,misc,0.5624999848756228,"University studies with  psychology (cognitive/social), sociology, semiotics, statistics, economics classes","class, running study",0.5325444221725636,"I normally attend 5-10 conferences per year, selecting them by speakers / topics",misc,0.46636557477809704,,"london, user_research",0.14285714285714288,"case studies, deep dives. not-for-beginners kind of stuff","new_method, mixed_method",0.6043721471521675,very senior people,"industry, team, product",0.8093975757373539,,"speaker, industry",0.2,"Yes, I was taught how to conduct researchUniversity studies with  psychology (cognitive/social), sociology, semiotics, statistics, economics classesI normally attend 5-10 conferences per year, selecting them by speakers / topicseventstorming workshop by avanscopertan/aSmall conference: < 300 attendeesSingle-track: All attendees experience the same content at the same timen/acase studies, deep dives. not-for-beginners kind of stuffvery senior peoplen/a",1,0.15,0.43999999999999995
77,Banking,software,0.5624999722125859,"Interviews, Co-creation workshops, user testing, Design Sprints",misc,0.7145419212832986,Speculative Design workshops,focus group,0.7809669538030902,Studied a Master's Degree in Human Computer Interaction,"masters, bachelors",0.94039462175817,"I try to attend to every specialized event in my country (Spain) and select a few in Europe, choosed by the price, location and topics covered","price, location",0.6210556477471575,"None that specialized, I usually go to events with mixed UX topics","webinar, brighton",0.8773718563049576,"Less frequent techniques, anthropological research, etnography, Speculative Design",quant/qual/data,0.8050878969121404,"Anthony Dunne and Fiona Raby (not really researchers, but the application of Speculative Design to research)","sam ladner, erika hall",0.886340687288189,Do not limit the speakers to your authors,"speaker, industry",0.8389307209952611,"Yes, I was taught how to conduct researchStudied a Master's Degree in Human Computer InteractionI try to attend to every specialized event in my country (Spain) and select a few in Europe, choosed by the price, location and topics coveredA workshop with Josh Clark, because It was very focused un a topic and we were a small groupNone that specialized, I usually go to events with mixed UX topicsSmall conference: < 300 attendeesSingle-track: All attendees experience the same content at the same timen/aLess frequent techniques, anthropological research, etnography, Speculative DesignAnthony Dunne and Fiona Raby (not really researchers, but the application of Speculative Design to research)Do not limit the speakers to your authors",1,-0.05,0.215
78,Mix of industries,education,0.7081265988350135,"Wide range of mixed methods - ethnography, diary study, analytics review, surveys, interviews, usability studies, card sorts, tree jack studies...",ngram,0.45320319101231826,All of the above plus more quantitative,card sort,0.7082692375405929,,"masters, bachelors",0.16666666666666669,What is affordable and fits in with my schedule as well as who/what/where/how of the event,pay,0.48853495603185143,,"london, user_research",0.14285714285714288,"Challenges in research - e.g. connecting with difficult to reach global audiences, approaches for tackling challenging research questions, best practices, creative and critical research thinking and approaches, listening skills",ops/ai,0.9630652807702165,,"industry, team, product",0.25,,"speaker, industry",0.2,"No, I was not taught how to conduct researchn/aWhat is affordable and fits in with my schedule as well as who/what/where/how of the eventn/an/aSmall conference: < 300 attendeesMulti-track: Every attendee chooses their own path with multiple options available for most time-slotsn/aChallenges in research - e.g. connecting with difficult to reach global audiences, approaches for tackling challenging research questions, best practices, creative and critical research thinking and approaches, listening skillsn/an/a",1,0.3,0.6
79,digital media,education,0.7083064560400226,qualitative,qual/quant,0.5621572177868904,,"evaluative, quantitative, qualitative",0.125,Masters HCI,"masters, bachelors",0.7910989665812046,Speaker and reputation of conference,"value, reputation",0.8605658139791699,UXGA Interntaional Conference this year,"service design, australia",0.6139414521293054,"Ai, Robots, Test Methods for UX Writing, Quantiative/Benchmarking",quant/qual/data,0.7038418091134333,Industry thought leadres,"experience, jared spool",0.8069924542806464,Record the sessions and make virtual attendance an option,"good, know",0.8990663288747082,"Yes, I was taught how to conduct researchMasters HCISpeaker and reputation of conferenceNew opportunities that present challenges- I always feel impressed and proud of myself b/c I start out unsure and end confident wanting moreUXGA Interntaional Conference this yearLarge conference: 500+ attendeesMulti-track: Every attendee chooses their own path with multiple options available for most time-slotsVirtual- make them virtually availableAi, Robots, Test Methods for UX Writing, Quantiative/BenchmarkingIndustry thought leadresRecord the sessions and make virtual attendance an option",2,0.475,0.5916666666666667
80,Consulting,commerce/consulting,0.5624543921682892,Mostly usability  research on prototypes of websites,qual/quant,0.8249135889317833,,"evaluative, quantitative, qualitative",0.125,,"masters, bachelors",0.16666666666666669,"First it must be of key interest to me. Then I consider time away from work, expenses, and travel.","reputation, value",0.9302870879367044,None,"london, user_research",0.14285714285714288,"Usability testing, including card sorting",ops/ai,0.872016819310761,,"industry, team, product",0.25,,"speaker, industry",0.2,"Yes, I was taught how to conduct researchn/aFirst it must be of key interest to me. Then I consider time away from work, expenses, and travel.n/aNoneMid-size conference : 300-500 attendeesMulti-track: Every attendee chooses their own path with multiple options available for most time-slotsn/aUsability testing, including card sortingn/an/a",2,0.3,0.58
81,Higher Ed,education,0.7812377267038978,"We mostly do baseline and validation testing, with very little exploratory research.",testing,0.5458218712445626,"I'd love to grow our user research to a better understanding of people's journeys across our many tools and channels (we have personas and lots of quant stuff, but very little around journeys, reasons people attend, drop out, etc.).","evaluative, quantitative, qualitative",0.9538413533572856,"Multiple stats classes in my undergrad (incl. sampling, etc.), research methods classes in my masters and phd, research assistantships during my grad studies that served as a great apprenticeship around conducting studies in the field, building out programs of study, study design & analysis.",master degree,0.9728922167969734,"I attend an annual research conference locally (radical research summit), and submit talks to smaller local events. I have dream conferences to attend - like EPIC - but am not sure I'll ever be able to get the funding together or get in before it's waitlist only...","value, reputation",0.575743714043621,Radical Research Summit (all years held),"urca, uxpa",0.9141835485218169,"bootstrapping a small team, setting up a program of research, getting decision maker buy in on recommendations.",case_study,0.5582811827507411,"Senior people in the field, people doing something different, people getting work done in adverse circumstances (not fucking google or facebook again. i'm exhausted of well funded trust fund kids telling me about how their second year as a researcher is going).","industry, team, product",0.964919213357946,Partner with one of several existing conferences.,"speaker, industry",0.7326167987160772,"No, I was not taught how to conduct researchMultiple stats classes in my undergrad (incl. sampling, etc.), research methods classes in my masters and phd, research assistantships during my grad studies that served as a great apprenticeship around conducting studies in the field, building out programs of study, study design & analysis.I attend an annual research conference locally (radical research summit), and submit talks to smaller local events. I have dream conferences to attend - like EPIC - but am not sure I'll ever be able to get the funding together or get in before it's waitlist only...My best learning experiences were in the field or during workshops that are run in different ways than I would do it. It's always lovely to hear what others are doing, I've most enjoyed hearing stories from people who have been doing UX research for a while and hearing down to earth 'here are the problems we ran into' talks. On the other hand, rockstar talks are so divorced from the work I do that they are often just demoralizing (I've found that's often also a sign of junior researchers talking about the tools rather than the study, findings, etc.). Radical Research Summit (all years held)Small conference: < 300 attendeesMulti-track: Every attendee chooses their own path with multiple options available for most time-slotsn/abootstrapping a small team, setting up a program of research, getting decision maker buy in on recommendations.Senior people in the field, people doing something different, people getting work done in adverse circumstances (not fucking google or facebook again. i'm exhausted of well funded trust fund kids telling me about how their second year as a researcher is going).Partner with one of several existing conferences.",2,0.18831018518518516,0.4615740740740741
82,Insurance,government,0.562499987262896,"Quantitative,  qualitative (interviews, active participant research, surveys).",generative/mixed method,0.8748557541883448,Further expansion of current research practices.,focus group,0.8541087449708327,Ph.D. in linguistics; coursework and formal academic research.,degree majors,0.8952474971715835,"Topic, cost, seriousness,  funding by employer.",pay,0.8601457887003171,None,"london, user_research",0.14285714285714288,"Methodologies,  field-specific best practices,  etc. ","new_method, mixed_method",0.8442855361762992,,"industry, team, product",0.25,Don't let the snake oil salespeople of the UX field ir industry hucksters dominate your panels. Best to get pillars of the field from respected orgs.,"good, know",0.9092604887669627,"Yes, I was taught how to conduct researchPh.D. in linguistics; coursework and formal academic research.Topic, cost, seriousness,  funding by employer.Graduate school. Rigor.NoneSmall conference: < 300 attendeesMulti-track: Every attendee chooses their own path with multiple options available for most time-slotsn/aMethodologies,  field-specific best practices,  etc. n/aDon't let the snake oil salespeople of the UX field ir industry hucksters dominate your panels. Best to get pillars of the field from respected orgs.",2,0.5,0.3571428571428571
83,Finance,government,0.5624750524502,"Surveys, contextual research (field observation, interviews), usability testing, concept & A/B or multivariate testing, competitive analyses",ngram,0.8186633007246745,lab testing,"evaluative, quantitative, qualitative",0.7811004566726415,,"masters, bachelors",0.16666666666666669,"Travel (cost, time), scheduling (needs to fit with my calendar), the quality of the event and specific topics covered, uniqueness of the material and experience versus what I could get elsewhere (= value)","reputation, value",0.9618620291822207,,"london, user_research",0.14285714285714288,,case_study,0.25,,"industry, team, product",0.25,,"speaker, industry",0.2,"Yes, I was taught how to conduct researchn/aTravel (cost, time), scheduling (needs to fit with my calendar), the quality of the event and specific topics covered, uniqueness of the material and experience versus what I could get elsewhere (= value)HOW design conference. Amazingly well run, exceeded my expectations, great balance of inspiration and in-depth, practical sessions & networking opportunities n/aI really don’t have a preferenceMulti-track: Every attendee chooses their own path with multiple options available for most time-slotsn/an/an/an/a",4,0.3888888888888889,0.47500000000000003
84,Professional Services or Consulting,misc,0.8246859800570709,"Qualitative research of all kinds: remote ethnography, in-depth ethnography, Lab testing and Living Labs (in-context testing)
Secondary Research
Quant Research
 ",qual/quant,0.9539154067874615,"We already dabble in most methods, so I wouldn't say ""considering"" - more of ""doing more of"" and I'd say doing more quant to complement the qualitative work. 
",focus group,0.7299487653935912,,"masters, bachelors",0.16666666666666669,"At this point in my career I mostly prioritize events that I am speaking at. I try to stay present and engaged for the full duration of the event, beyond my speaking slot, to get the most out of it. ","reputation, value",0.9439625512320764,"IIEX NA, CX Talks, Local events, IIEX Behavior, Qual360, EPIC, Day Of Innovation","webinar, brighton",0.9337905356129667,"....  Anything BUT AI. 
Real user stories. ",ops/ai,0.8702241316125611,"Fortune 1000 stakeholders
Industry thought leaders","experience, jared spool",0.8672663799266945,Don't make people WORK. Get them to have fun.,"good, know",0.7264975603912195,"No, I was not taught how to conduct researchn/aAt this point in my career I mostly prioritize events that I am speaking at. I try to stay present and engaged for the full duration of the event, beyond my speaking slot, to get the most out of it. 1:1 Executive Coaching on things that had nothing to do with research. Research and methods is not where I am focused on my growth at this point in my career - I have a mastery over the methods, and my focus is on creating motivations for junior teams, setting visions and goals and providing strategic guidance to client teams. IIEX NA, CX Talks, Local events, IIEX Behavior, Qual360, EPIC, Day Of InnovationLarge conference: 500+ attendeesA combination of Single and MultiI find most workshops at conferences to be chaotic and mundane, and I come to conferences usually to escape work. Workshops usually make you ... do work. :) 

I'd rather experience something interactive and engaging and fun that isn't really ""work""
....  Anything BUT AI. 
Real user stories. Fortune 1000 stakeholders
Industry thought leadersDon't make people WORK. Get them to have fun.",3,0.18305322128851542,0.34887955182072833
85,Human Resources,tech,0.7812499404748005,"Usability testing, surveys, in-depth interviews, ethnographic research",misc,0.9203861857269731,,"evaluative, quantitative, qualitative",0.125,,"masters, bachelors",0.16666666666666669,,pay,0.16666666666666669,,"london, user_research",0.14285714285714288,,case_study,0.25,,"industry, team, product",0.25,,"speaker, industry",0.2,"Yes, I was taught how to conduct researchn/an/aIA Summit Denver.

Topics covered were amazing. n/aLarge conference: 500+ attendeesMulti-track: Every attendee chooses their own path with multiple options available for most time-slotsn/an/an/an/a",3,0.42000000000000004,0.5599999999999999
86,IT Infrastructure,commerce/consulting,0.5624998855943127,"Usability testing, surveys, user interviews, card sort, tree jack",focus group,0.9539171407699385,Unmoderated usability testing services,market research,0.8905731823931452,"Graduate degrees in Human factors Engineering with a heavy emphasis on experimental design, field methods, survey methods, statistics","experimental, psychology",0.5157795629293775,Need to have enough relevant content to fill each day of conference,"subject, feel, theme",0.8942981735321103,None,"london, user_research",0.14285714285714288,,case_study,0.25,,"industry, team, product",0.25,,"speaker, industry",0.2,"Yes, I was taught how to conduct researchGraduate degrees in Human factors Engineering with a heavy emphasis on experimental design, field methods, survey methods, statisticsNeed to have enough relevant content to fill each day of conferenceWorkshop on Edward de Bono's Lateral Thinking. It gave me a fresh perspective on problem solving and creativity.NoneLarge conference: 500+ attendeesMulti-track: Every attendee chooses their own path with multiple options available for most time-slotsn/an/an/an/a",3,0.21000000000000002,0.48
87,healhcare,misc,0.125,"focus groups, analytics, card sorting, shadowing, heatmaps, heuristics",validation,0.9326629024842042,eye-tracking and EEG,journey mapping,0.37502488588059935,I was trained as a scientist,"class, running study",0.8324296847590855,proximity,pay,0.5829455968948475,,"london, user_research",0.14285714285714288,case studies plus more about statistics,"new_method, mixed_method",0.8719180621634144,more professionally trained people instead of homebrew,"industry, team, product",0.8088414691709748,do it - I'll come,"group, career, city",0.7965066737343794,"Yes, I was taught how to conduct researchI was trained as a scientistproximityTomer was a great speakern/aLarge conference: 500+ attendeesMulti-track: Every attendee chooses their own path with multiple options available for most time-slotsnocase studies plus more about statisticsmore professionally trained people instead of homebrewdo it - I'll come",3,0.41428571428571426,0.4642857142857143
