00	01a	01b	01c	02a	02b	02c	02d	02e	02f	02g	02h	02i	02j	03	04	08a	08b	08c	08d	08e	08f	08g	08h	08i	08j	11a	11b	11c	11d	11e	12a	12b	12c	12d	12e	12f	12g	12h	13a	13b	13c	13d	13e	13g	13h	13i	13j	13f	19a	19b	19c	19d	19e	19f	19g	19h	20	05	06	07	10	14	15	16	17a	17b	18a	21	22	23	09a
763	Content Strategist	5	7	Often	Often	Never	Often	Neutral	Often	Occasionally	All or almost all	Never	Neutral	"1,000+ employees"	50+ employees	5-7 years	5-7 years	0-1 year	5-7 years	7-10 years	7-10 years	1-3 years	7-10 years	0-1 year	0-1 year	Sometimes	Sometimes	Sometimes	Sometimes	Sometimes	Neutral	Likely	Extremely likely	Likely	Extremely likely	Extremely likely	Likely	Likely	Somewhat Important	Very Important	Very Important	Very Important	Very Important	Very Important	Somewhat Important	Important	Very Important	Very Important	Neutral	Neutral	Very Important	Very Important	Important	Not at all Important	Very Important	Very Important		Insurance	"Quantitative,  qualitative (interviews, active participant research, surveys)."	Further expansion of current research practices.	Ph.D. in linguistics; coursework and formal academic research.	"Topic, cost, seriousness,  funding by employer."	Graduate school. Rigor.	None	Small conference: < 300 attendees	2	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots	"Methodologies,  field-specific best practices,  etc. "		Don't let the snake oil salespeople of the UX field ir industry hucksters dominate your panels. Best to get pillars of the field from respected orgs.	"Yes, I was taught how to conduct research"
736	Design Manager	6	8	Never	Never	Never	Never	Occasionally	Never	Never	All or almost all	Occasionally	All or almost all	"1,000+ employees"	50+ employees	3-5 years	3-5 years	0-1 year	1-3 years	3-5 years	1-3 years	0-1 year	3-5 years	3-5 years	3-5 years	Sometimes	Sometimes	Sometimes	Sometimes	Sometimes	Likely	Extremely likely	Extremely likely	Neutral	Extremely likely	Likely	Extremely likely	Likely	Somewhat Important	Important	Very Important	Very Important	Somewhat Important	Somewhat Important	Somewhat Important	Very Important	Important	Important	Very Important	Very Important	Neutral	Very Important	Neutral	Neutral	Somewhat Important	Somewhat Important		Finance	"Surveys, contextual research (field observation, interviews), usability testing, concept & A/B or multivariate testing, competitive analyses"	lab testing		"Travel (cost, time), scheduling (needs to fit with my calendar), the quality of the event and specific topics covered, uniqueness of the material and experience versus what I could get elsewhere (= value)"	"HOW design conference. Amazingly well run, exceeded my expectations, great balance of inspiration and in-depth, practical sessions & networking opportunities "		I really don’t have a preference	6	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots				"Yes, I was taught how to conduct research"
750	Design Manager	6	8	Often	Often	Never	Often	Occasionally	Often	Occasionally	Often	Never	Often	1-25 employees	11-50 employees	10+ years	10+ years	0-1 year	5-7 years	10+ years	5-7 years	3-5 years	10+ years	5-7 years	3-5 years	Rarely	Often	Never	Never	Often	Neutral	Extremely likely	Extremely likely	Extremely unlikely	Neutral	Extremely unlikely	Likely	Extremely unlikely	Neutral	Important	Very Important	Important	Very Important	Important	Not at all Important	Not at all Important	Important	Somewhat Important	Very Important	Very Important	Very Important	Not at all Important	Very Important	Very Important	Very Important	Not at all Important	"I find most workshops at conferences to be chaotic and mundane, and I come to conferences usually to escape work. Workshops usually make you ... do work. :) 

I'd rather experience something interactive and engaging and fun that isn't really ""work""
"	Professional Services or Consulting	"Qualitative research of all kinds: remote ethnography, in-depth ethnography, Lab testing and Living Labs (in-context testing)
Secondary Research
Quant Research
 "	"We already dabble in most methods, so I wouldn't say ""considering"" - more of ""doing more of"" and I'd say doing more quant to complement the qualitative work. 
"		"At this point in my career I mostly prioritize events that I am speaking at. I try to stay present and engaged for the full duration of the event, beyond my speaking slot, to get the most out of it. "	"1:1 Executive Coaching on things that had nothing to do with research. Research and methods is not where I am focused on my growth at this point in my career - I have a mastery over the methods, and my focus is on creating motivations for junior teams, setting visions and goals and providing strategic guidance to client teams. "	"IIEX NA, CX Talks, Local events, IIEX Behavior, Qual360, EPIC, Day Of Innovation"	Large conference: 500+ attendees	4	A combination of Single and Multi	"....  Anything BUT AI. 
Real user stories. "	"Fortune 1000 stakeholders
Industry thought leaders"	Don't make people WORK. Get them to have fun.	"No, I was not taught how to conduct research"
735	Design Manager	6	8	Occasionally	Occasionally	Never	Often	Often	Often	Often	Often	Never	Often	101-500 employees	1-5 employees	7-10 years	7-10 years	0-1 year	7-10 years	7-10 years	7-10 years	5-7 years	3-5 years	1-3 years	3-5 years	Rarely	Often	Rarely	Rarely	Rarely	Likely	Extremely likely	Likely	Unlikely	Neutral	Unlikely	Neutral	Neutral	Important	Important	Very Important	Neutral	Not at all Important	Somewhat Important	Important	Important	Important	Somewhat Important	Not at all Important	Important	Important	Not at all Important	Somewhat Important	Somewhat Important	Somewhat Important	Important		Human Resources	"Usability testing, surveys, in-depth interviews, ethnographic research"				"IA Summit Denver.

Topics covered were amazing. "		Large conference: 500+ attendees	4	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots				"Yes, I was taught how to conduct research"
717	Design Manager	6	8	Occasionally	Neutral	Never	Often	Neutral	Occasionally	Occasionally	Often	Occasionally	All or almost all	"1,000+ employees"	11-50 employees	10+ years	10+ years	0-1 year	3-5 years	10+ years	10+ years	10+ years	3-5 years	1-3 years	3-5 years	Rarely	Sometimes	Rarely	Rarely	Rarely	Extremely unlikely	Likely	Likely	Unlikely	Likely	Unlikely	Neutral	Neutral	Somewhat Important	Somewhat Important	Important	Important	Not at all Important	Not at all Important	Not at all Important	Important	Very Important	Somewhat Important	Somewhat Important	Important	Important	Important	Not at all Important	Somewhat Important	Not at all Important	Neutral		IT Infrastructure	"Usability testing, surveys, user interviews, card sort, tree jack"	Unmoderated usability testing services	"Graduate degrees in Human factors Engineering with a heavy emphasis on experimental design, field methods, survey methods, statistics"	Need to have enough relevant content to fill each day of conference	Workshop on Edward de Bono's Lateral Thinking. It gave me a fresh perspective on problem solving and creativity.	None	Large conference: 500+ attendees	4	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots				"Yes, I was taught how to conduct research"
702	Design Manager	6	8	Often	Often	Neutral	Neutral	Often	Often	Often	All or almost all	Never	Neutral		50+ employees	7-10 years	7-10 years	7-10 years	3-5 years	7-10 years	7-10 years	3-5 years	10+ years	7-10 years	3-5 years	Often	Often	Sometimes	Rarely	Rarely	Extremely likely	Extremely likely	Likely	Likely	Likely	Likely	Likely	Neutral	Important	Important	Important	Important	Neutral	Neutral	Somewhat Important	Important	Very Important	Important	Important	Important	Neutral	Neutral	Somewhat Important	Not at all Important	Somewhat Important	Somewhat Important	no	healhcare	"focus groups, analytics, card sorting, shadowing, heatmaps, heuristics"	eye-tracking and EEG	I was trained as a scientist	proximity	Tomer was a great speaker		Large conference: 500+ attendees	4	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots	case studies plus more about statistics	more professionally trained people instead of homebrew	do it - I'll come	"Yes, I was taught how to conduct research"
760	Design Manager	6	8	Often	Often	Never	Occasionally	Often	Often	Often	Often	Never	Occasionally	26-100 employees	11-50 employees	10+ years	10+ years	1-3 years	10+ years	10+ years	10+ years	10+ years	10+ years	1-3 years	10+ years	Rarely	Often	Sometimes	Never	Sometimes	Unlikely	Extremely likely	Extremely likely	Likely	Extremely likely	Neutral	Likely	Unlikely	Important	Important	Very Important	Important	Neutral	Important	Neutral	Neutral	Important	Neutral	Neutral	Important	Important	Not at all Important	Important	Important	Important	Neutral	Not that I can think of!	healthcare	"in-depth individual interviews, surveys, desk research, usability research"	"Always looking at new tools to facilitate the methods we already use,"	"Have a PhD in psychology, so coursework included research skills and I had about 8 years of supervised research training"	"I look for events that incorporate but extend my area of expertise. For a long time I loved Health Experience Design because it brought the behavior change work I do together with healthcare design in an integrated way I didn't see outside my own work. Lately I've been really digging applied conferences, such as the WWF Fuller Symposium about using behavior change for conservation and sustainability practices."	WWF Fuller comes to mind in part because it was fairly recent. What I loved was that it alternated What and Why between the speakers. One speaker would share an amazing case study of their applied work. The next would talk more about theory and approach. This alternation made it easy to grasp how the case studies were done and how the theory could look in practice.	I don't know that I've attended any specifically about research. I go to UXPA International and UXPA Boston; those might be the closest.	Mid-size conference : 300-500 attendees	3	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots	I like presentations about common missteps and avoiding them. I also love case studies. Not a big fan of advertisements hidden in a presentation.	"I like to see a couple of ""big names"" on the main stage but find I often get more out of the mid-career non-famous types in the smaller sessions. It's always a delight to find out about someone new who's doing amazing work but you might not have been aware of them. "	"This goes in the face of all of my previous answers because I don't really like workshops, but I think opportunities to apply what's being presented are really impactful. If there are creative ways to build activities into the day, that would be fun. I went to the Innovation Learning Network in-person event a few years ago and they organized surprise field trips to local organizations who were doing innovation work; that was a cool non-workshop way to bring the conference topics to life. "	kindof...I had one research class in design school
744	Design Manager	6	8	Occasionally	Often	Occasionally	Occasionally	Occasionally	Occasionally	Occasionally	Often	Never	Never	1-25 employees	1-5 employees	10+ years	10+ years	1-3 years	5-7 years	3-5 years	5-7 years	5-7 years	10+ years	0-1 year	3-5 years	Often	Often	Sometimes	Sometimes	Sometimes	Extremely likely	Extremely likely	Likely	Unlikely	Neutral	Likely	Neutral	Unlikely	Neutral	Neutral	Important	Somewhat Important	Neutral	Important	Important	Important	Very Important	Somewhat Important	Neutral	Important	Not at all Important	Very Important	Important	Neutral	Important	Very Important		Cloud technology	"On behalf of customers, user research: surveys, focus groups "	"Surveys, focus groups "	"took classes, participated in running studies, majored in a research-related area). PhD"				Mid-size conference : 300-500 attendees	3	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots				"Yes, I was taught how to conduct research"
740	Design Manager	6	8	Often	Often	Never	All or almost all	Neutral	Often	Often	All or almost all	Never	All or almost all	"501-1,000 employees"	1-5 employees	7-10 years	5-7 years	1-3 years	5-7 years	10+ years	5-7 years	3-5 years	10+ years	1-3 years	5-7 years	Often	Often	Sometimes	Sometimes	Sometimes	Extremely likely	Extremely likely	Extremely likely	Likely	Extremely likely	Likely	Extremely likely	Extremely likely	Neutral	Very Important	Very Important	Important	Very Important	Neutral	Very Important	Very Important	Very Important	Important	Important	Important	Important	Very Important	Very Important	Important	Important	Important	Break out sessions	civictech	"I would like to say all the types. But the things we do MOST ofter are: interviews, focus groups, prototyping for feedback, usability studies remote and in person, moderated and unmoderated, task analysis, idea mapping, competitive analysis, heuristic evaluation, contextual inquiry, usability analytics, feedback tool IN the product. "	"SAME:  interviews, focus groups, prototyping for feedback, usability studies remote and in person, moderated and unmoderated, task analysis, idea mapping, competitive analysis, heuristic evaluation, contextual inquiry, usability analytics, feedback tool IN the product. "	"I learned on the job, starting in 1997 as a content strategist. research is important to understand all of the content and what people need to achieve to plan your content strategy. i had good mentors."	"our budget is so limited that a local (to our employees--we have several offices) conference is more likely to get approved. We need the conferences to be directly applicable to our jobs, bring value to our work, and essentially have an ROI. If we are presenting they will pay for anything."	"Being mentored by Rosenfeld's folks to present at their conference.
working closely with storytellers, editors, and peers and striving for excellence to not let anyone down, and to have an authentic experience that was my best.

Also going to in-depth workshops because of the hands-on learning. "	none specifically on research	Mid-size conference : 300-500 attendees	3	Single-track: All attendees experience the same content at the same time	"Turning research into action
Research as part of scrum/agile/sprinting
Agile doesn't mean we throw research and strategy out the window
"	"Indie Young
Content Strategy as/and Research
New people/Regular people who have solved common problems.
Scrappy research using free or cheap toolsResearch for startups (speed talk)
Research for non-researchers (workshop)
"	"DO IT!



"	"No, I was not taught how to conduct research"
727	Design Manager	6	8	Never	Neutral	Occasionally	Never	Occasionally	Occasionally	Occasionally	All or almost all	Occasionally	Neutral	"1,000+ employees"	11-50 employees	7-10 years	10+ years	5-7 years	5-7 years	7-10 years	7-10 years	7-10 years	10+ years	5-7 years	5-7 years	Often	Often	Sometimes	Rarely	Often	Likely	Extremely likely	Neutral	Extremely likely	Neutral	Neutral	Likely	Neutral	Important	Important	Important	Neutral	Not at all Important	Not at all Important	Important	Important	Neutral	Somewhat Important	Very Important	Important	Not at all Important	Somewhat Important	Not at all Important	Not at all Important	Neutral	Not at all Important		Fintech	"Ethnography, Usability Testing, Competitive Analysis, Interviews"	Same things but at a greater scale	My master's program had research courses	Usually ones I am speaking at	When I was an attendee the AEA and IA Conference were great for other perspectives than just UX	none specific to research only	Mid-size conference : 300-500 attendees	3	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots	Scaling research	people who have struggled to get large buy-in but have managed to do so	Make it fun	"Yes, I was taught how to conduct research"
714	Design Manager	6	8	Occasionally	Occasionally	Never	Often	Occasionally	All or almost all	Occasionally	All or almost all	Often	All or almost all	101-500 employees	1-5 employees	10+ years	10+ years	1-3 years	10+ years	10+ years	10+ years	10+ years	10+ years	1-3 years	10+ years	Sometimes	Sometimes	Sometimes	Rarely	Sometimes	Unlikely	Unlikely	Unlikely	Unlikely	Unlikely	Unlikely	Unlikely	Unlikely	Somewhat Important	Somewhat Important	Important	Somewhat Important	Somewhat Important	Not at all Important	Not at all Important	Not at all Important	Somewhat Important	Not at all Important	Important	Important	Important	Not at all Important	Somewhat Important	Not at all Important	Not at all Important	Not at all Important	Case studies!	Consumer tech / fitness	Both Qual and Quant	"More competitive, landscape analysis
Trends and brand/cultural insights"	Masters in design planning/strategy	"Topics and speakers
A great location is a bonus"	I recently attended People Nerds and thought that was well put together. It was nicely structured overall and celebrated the community nicely. I wouldn't call it a learning experience.		Mid-size conference : 300-500 attendees	3	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots	"Org structures, culture, capabilities etc...
Evidence of impact
New approaches/emerging challenges
Qual+Quant/Mixed methods
"	"Research org leaders
Inspirational specialists"	Make it fun and creative (not just nerdy)	learned by doing and also mentor guidance
713	Design Manager	6	8	Often	Often	Occasionally	Often	Occasionally	All or almost all	Neutral	All or almost all	Occasionally	Neutral	"1,000+ employees"	6-10 employees	10+ years	10+ years	5-7 years	7-10 years	5-7 years	5-7 years	3-5 years	3-5 years	5-7 years	3-5 years	Sometimes	Sometimes	Often	Sometimes	Sometimes	Likely	Likely	Neutral	Unlikely	Likely	Likely	Likely	Extremely likely	Important	Important	Very Important	Important	Somewhat Important	Neutral	Neutral	Neutral	Important	Important	Important	Important	Somewhat Important	Very Important	Neutral	Neutral	Important	Important	No	Fintech	"Generative research, Evaluative research: in-person interviews, usability testing, remote-moderated testing, remote-unmoderated, contextual interviews, observation, card sorting, tree test, surveys"	"More generative research (ethnographic research)  as the plan is to focus a little bit more on needs versus evaluating current-state, that still is definitively crucial"	I have a bachelor degree in Psychology and I also have a post-grad on Market research	I decide based on the budget that I have allocated for training	I would say it was an Adaptive Path's workshop in 2007 that I attended in Vancouver (Canada)	"Strive UX Research conference, TorCHI monthly events"	Mid-size conference : 300-500 attendees	3	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots	New technologies	"organizations that are well-know for over delivering UX experience, specific individuals"	To me one of the main goals when attending a conference is to learn/improve my skills. Sometimes I got the feeling that there's not such a chance to learn or improve skills when conferences are structured more into multi-track events than in workshops. I am more likely to attend a conference (and pay for it) knowing that hands on activities are involved. That's what I love from the Adaptive Path's workshops. Based on my conversations with some of the attendees to a conference that was something they were looking to get out of the conference	do books count?
710	Design Manager	6	8	Occasionally	Occasionally	Never	Often	Occasionally	All or almost all	Occasionally	Often	Occasionally	All or almost all	1-25 employees	1-5 employees	10+ years	10+ years	3-5 years	10+ years	10+ years	10+ years	5-7 years	10+ years	10+ years	10+ years	Never	Sometimes	Rarely	Never	Rarely	Unlikely	Likely	Extremely unlikely	Unlikely	Likely	Unlikely	Likely	Unlikely	Somewhat Important	Important	Important	Important	Neutral	Somewhat Important	Neutral	Somewhat Important	Very Important	Somewhat Important	Important	Neutral	Somewhat Important	Important	Neutral	Not at all Important	Neutral	Somewhat Important	Immersion. Getting outside of the venue to experience the work in progress.	across the board - currently heaving in financial services	"We are the researchers, focusing on qualitative research, often partnering with quantitative research teams to bring a holistic view/story"		degree in Industrial Design. Had one Design Research class that provided an overview of qualitative research tools.	time and cost. Plus the value I think I can get out of it. I have been to several conferences and can't say I've taken away all that much from them.	"Disney's Quality Service training/conference. So well organized, real world examples, and personal interaction to SEE how everything comes together. Listening to case studies very rarely tell you the HOW or share tools to use when you get back to the real job, but those are the most important things."	"UX Strat, MIdwest UX, NextGenCX (not very research focused)"	Mid-size conference : 300-500 attendees	3	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots	"selling the research -- how are you successfully gaining buy-in.
Partnering w/ market research inside organizations."	organizations who have successfully integrated qual/quant research...where they all get along :)	"How do you DEFINE research?? it seems like that is one of the biggest challenges internally...some want to OWN research or certain methods, which causes tension and ownership battles. So how can we all get along? Qual & quant are so powerful together. How can you create a conference where these different competencies and focus areas can come together for the good of the company?"	Learned by observing . -- was not officially taught
703	Design Manager	6	8	Often	Often	Never	Often	Often	Often	Often	All or almost all	Occasionally	All or almost all	"1,000+ employees"	50+ employees	10+ years	10+ years	0-1 year	10+ years	10+ years	10+ years	10+ years	10+ years	5-7 years	10+ years	Often	Often	Sometimes	Sometimes	Sometimes	Extremely likely	Extremely likely	Extremely likely	Likely	Extremely likely	Likely	Extremely likely	Likely	Important	Very Important	Very Important	Important	Important	Very Important	Very Important	Important	Very Important	Neutral	Important	Important	Important	Neutral	Important	Neutral	Very Important	Very Important		Education	"stakeholder research
user research
systems logs
analytics
front line support data"	"all of the above
our main concern is how to share findings with the rest of the organization"	"I'm assuming you are asking about formal education? If so, I answered above. "	"The event topics are first and foremost- they have to be relevant for me, and I have to learn something. 
Speakers I've heard of- having celebrities is not important, as long as I can read about the speakers someplace to learn more about their backgrounds. "	"The most recent event I went to was an industry- and field-specific event- meeting with fellow UX leaders in higher ed. So good to make those connections and learn from each other and share. 
That's not always important to me at a more general conference, however. I like to learn from folks outside of my bubble."	can't think of any	Mid-size conference : 300-500 attendees	3	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots	I'd love to hear lots of case studies of various types of research from various people- even attendees	"Abby Covert, Natalie Hanson, Steve Portigal, & Lou Rosenfeld :)"	"Think about how this ties in with all the other conferences you offer! What are the threads between them, and the differences?"	"Yes, I was taught how to conduct research"
699	Design Manager	6	8	Occasionally	Neutral	Occasionally	Neutral	Occasionally	Occasionally	Occasionally	Often	Occasionally	Occasionally	"1,000+ employees"	11-50 employees	10+ years	10+ years	1-3 years	7-10 years	7-10 years	5-7 years	1-3 years	5-7 years	5-7 years	5-7 years	Sometimes	Rarely	Sometimes	Rarely	Sometimes	Likely	Neutral	Unlikely	Extremely unlikely	Unlikely	Neutral	Likely	Neutral	Very Important	Important	Important	Neutral	Neutral	Neutral	Somewhat Important	Important	Neutral	Important	Important	Neutral	Important	Somewhat Important	Somewhat Important	Somewhat Important	Neutral	Important		Banking	"Bench
User testing "	Remote testing	Participated in studies	The most important in my country	"Ux Spain 
Experience fighters "	3	Mid-size conference : 300-500 attendees	3	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots	"Best practices 
Real Projects"			"No, I was not taught how to conduct research"
697	Design Manager	6	8	Occasionally	Occasionally	Occasionally	Neutral	Neutral	Neutral	Neutral	All or almost all	Never	All or almost all	"1,000+ employees"	50+ employees	10+ years	10+ years	10+ years	10+ years	10+ years	10+ years	5-7 years	10+ years	0-1 year	5-7 years	Rarely	Rarely	Rarely	Rarely	Rarely	Neutral	Likely	Likely	Unlikely	Likely	Neutral	Neutral	Neutral	Important	Neutral	Very Important	Neutral	Neutral	Neutral	Important	Important	Very Important	Neutral	Important	Important	Not at all Important	Important	Important	Not at all Important	Neutral	Neutral		It's a big range.	"User analytics, moderated usability studies, stakeholder reviews"	"Unmoderated usability studies, surveys"		Time and money are my greatest considerations. I have a lot of constraints in my schedule right now due to work and family.	IA Summit. I heard a lot of big ideas and it was inspiring.	I've attended some local events relating to behavioral economics.	Mid-size conference : 300-500 attendees	3	Single-track: All attendees experience the same content at the same time	Strategy and operations	"I would like to hear from and network with other organizational leaders. I want to meet people I can learn from. No PR- or sales-type presentations. No product pushing, although I'd like to learn about tools that people are using. I am much more interested in strategy and how to manage operations for large teams. 

Also, speaking as someone on the consulting side, it would be nice to hear from leaders in that space as well as leaders within organizations. Some of the advice from design executives doesn't really apply to people who are consultants. We have our own challenges. So let's get some variety there. "	Could you make it just a one- or two-day conference that travels between large cities? Do a pilot someplace on the east coast. That way if people are really busy they could still do a day trip or overnight.	"Yes, I was taught how to conduct research"
759	Design Manager	6	8	Occasionally	Neutral	Occasionally	Never	Occasionally	Never	Never	Neutral	Often	Never	1-25 employees	1-5 employees	1-3 years	3-5 years	1-3 years	0-1 year	1-3 years	0-1 year	0-1 year	1-3 years	1-3 years	0-1 year	Sometimes	Often	Never	Never	Rarely	Likely	Likely	Neutral	Unlikely	Likely	Extremely unlikely	Unlikely	Neutral	Somewhat Important	Neutral	Important	Not at all Important	Not at all Important	Not at all Important	Not at all Important	Neutral	Neutral	Somewhat Important	Somewhat Important	Important	Neutral	Neutral	Not at all Important	Not at all Important	Neutral	Somewhat Important		Marketing	"Surveys, interviews, user testing , a/b test"	Na		"Topic, travel cost/location, tickets "	"Insight seminar, personal growth "	None	Retreat/workshop: < 50 attendees	1	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots				"Yes, I was taught how to conduct research"
756	Design Manager	6	8	Often	Often	Occasionally	Often	Often	Often	Often	All or almost all	Occasionally	Often	"501-1,000 employees"	11-50 employees	3-5 years	3-5 years	3-5 years	1-3 years	3-5 years	3-5 years	1-3 years	5-7 years	1-3 years	1-3 years	Sometimes	Often	Rarely	Sometimes	Sometimes	Likely	Likely	Extremely likely	Neutral	Extremely likely	Neutral	Likely	Likely	Somewhat Important	Very Important	Very Important	Important	Somewhat Important	Neutral	Neutral	Important	Important	Important	Important	Important	Very Important	Very Important	Neutral	Neutral	Important	Important		"Financial Sector, Public Sector, Resources, Technology, Retail, Healthcare"	"We conduct mixed methods qualitative research with customers/users/humans. Predominantly in-home in-depth interviews, cultural probes / diaries (digital and analog), co-design workshops, observational fieldwork, shop-alongs, usability tests and intercepts. We also conducted ""community research walks"" which were walking based conversations during a public space an infrastructure project. "	"Each project demands different types of research method, so we're always open to new forms, it's hard to say without a project/problem frame in front of me specifically..."	"Bachelor in Design 
UX/UI Conferences
Workshop Training
Mentor Seminars
On the job training 
Self guided learning"	"I'm always interested in attending events that offer a mix of session ie. large room presentations and smaller more intimate seminars...the closer I can get to ""feeling the realness"" of the researcher/experts stories/methodological perspective the better. Price and location are factors, I'm always interested in going to new cities / countries so that's a bonus/ideal state – but not something I would do more than once a year."	"UX Research Conference in Toronto in 2018 at the University of Toronto Campus. It was a last minute ticket purchase, but I loved seeing Dr. Sam Ladner speak. They also offered wonderful afternoon 45 minute seminars that were really refreshing and scrappy. I think the ticket was $90, it was possibly the best value i've got from a conference ticket price ever. There weren't a tonne of frills, but honestly I was there for the content and it was a perfect one day injection of local research in action.  

The CreativeMornings Summit in 2018 held on some camp grounds in upper state new york were the pinnacle of experience design, Seth Godin spoke and conducted a riveting ""real talk"" Q&A that was really illuminating. 

SOTA – The Society of Typography Aficionados (hilarious title) offered the most wonderful full-day workshops with master typographers and it was ~8-10 students...it was so intimate and robust in content. It was maybe another $100 on top of the conference price, but it was worth it for the quality of the interaction. 

"		Retreat/workshop: < 50 attendees	1	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots	"– Mixed Methods approaches
– Methodological discourse
– Artifact / Stimuli Design 
– Report Design / Installations / Presentation approaches"		"Read Priya Parker's book The Art of Gathering, learn about the Do Lectures"	My BA in Geography had some quant methods.
755	Design Manager	6	8	Occasionally	Occasionally	Never	Often	Occasionally	Often	Often	All or almost all	Never	All or almost all	"501-1,000 employees"	11-50 employees	10+ years	10+ years	1-3 years	10+ years	10+ years	10+ years	7-10 years	10+ years	0-1 year	5-7 years	Sometimes	Sometimes	Sometimes	Sometimes	Rarely	Unlikely	Likely	Likely	Unlikely	Extremely likely	Neutral	Unlikely	Likely	Important	Important	Very Important	Important	Important	Neutral	Somewhat Important	Somewhat Important	Somewhat Important	Important	Somewhat Important	Somewhat Important	Somewhat Important	Important	Important	Somewhat Important	Neutral	Important	"Maybe this is a ""workshop"", but anything where we can get our hands dirty in a new skill. I also like inspirational events like curated exhibits that are freeform."	"Design and innovation consulting, all industries"	"All types. Historically, a heavier emphasis on qualitative methods to inform design opportunities, but that's shifted quite a bit over the past 10 years. Now I would say, all methods, all phases of design and build work."	We are considering using everything and anything. We are trying to get more of us more fluent with the overlaps between design research and data science.	"Made it up as a i went along, followed by formal post-grad education (PhD in Information Science) that included methods classes, helping others' research projects, and running my own projects. Pushed into research as part of design more and more after graduate school."	"Timing, budget, topic, opportunity to learn, opportunity to learn something that is worth sharing back with my company"	I don't have a good answer for this right now. Sorry!	"EPIC 2018, various ML+UX meetups, a few other random things"	Retreat/workshop: < 50 attendees	1	Single-track: All attendees experience the same content at the same time	"The differences in how research is organized and practiced in different industry fields
Data Science + Design Research
Leadership in research areas
Distributing power in research relationships"		"Have some points of view and make those available for conference-wide debate and discussion. Let participants really talk to each other and engage in healthy debate. Make space to adapt the schedule for whatever is top of mind for participants.

"	a small part of my masters program included a class that had some information on how to conduct research.
753	Design Manager	6	8	Often	Often	Never	Often	Often	Often	Never	Occasionally	Often	Never	"501-1,000 employees"	1-5 employees	3-5 years	3-5 years	0-1 year	1-3 years	3-5 years	3-5 years	0-1 year	1-3 years	1-3 years	0-1 year	Rarely	Often	Sometimes	Rarely	Rarely	Neutral	Extremely likely	Extremely likely	Unlikely	Likely	Neutral	Neutral	Neutral	Very Important	Very Important	Very Important	Somewhat Important	Somewhat Important	Somewhat Important	Not at all Important	Somewhat Important	Very Important	Somewhat Important	Important	Somewhat Important	Somewhat Important	Very Important	Somewhat Important	Not at all Important	Not at all Important	Important		Web	"Interviews
Usability tests
Competitor
A/B test
Quantitative data collection"	Same as above	Lots of reading and practice	Based on content	"management training. Great facilitators, content, and participants. "	None	Retreat/workshop: < 50 attendees	1	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots	"Listening
Asking good questions
Analysing data"	"Steve Portigal
Jon kolko"	Make it hands on. All about the content.	"No, I was not taught how to conduct research"
748	Design Manager	6	8	Occasionally	Occasionally	Never	Neutral	Occasionally	Often	Often	All or almost all	Never	Neutral	"1,000+ employees"	6-10 employees	5-7 years	5-7 years	0-1 year	7-10 years	5-7 years	7-10 years	5-7 years	7-10 years	1-3 years	3-5 years	Often	Often	Rarely	Rarely	Never	Extremely likely	Extremely likely	Likely	Unlikely	Extremely unlikely	Extremely unlikely	Extremely unlikely	Extremely unlikely	Important	Very Important	Important	Important	Neutral	Neutral	Neutral	Very Important	Very Important	Important	Important	Neutral	Not at all Important	Very Important	Important	Very Important	Very Important	Very Important	Creative lateral sessions.	Management consulting	"Interviews, surveys, observation"	Dunno	Masters in design ethnography	"I need to be asked to lead something in the event, my company wont support pure learning.  Everything is BD."	Usyd policy lab change breakfast. 3 hours. Top notch speaker. Top notch curated audience. Focused. Output product is a paper for all to read. Clear goals and products. Not just faff	Epic in london rocked. Epic in nyc sucked.	Retreat/workshop: < 50 attendees	1	Unconference: Attendees bring the content and the schedule emerges from who wants to present	"Influencing leadership, becoming leadership, self management. Expanding global consciiuness"	"Nathalie, and steve. Genevieve. Catriona. Young people. Graduates... most importantly research buyers..  educate the clients"	"I volunteer to help run a workshop on ""from survival to thrival, how to lighten up and toughen up and fuel yourself and your career.""
Also make sure to design for difficult business or capitalist approaches that will try to tear you down.
Teach people how to narrate business cases for research. Give away a library of qualifications on when research changed the world."	"Yes, I was taught how to conduct research"
